Unix Timestamp	Date	Symbol	Open	High	Low	Close	Volume
1.62E+12	4/20/2021 0:02	BTCUSD	55717.47	55723	55541.69	55541.69	2.406733604
1.62E+12	4/20/2021 0:01	BTCUSD	55768.94	55849.82	55711.74	55717.47	0.5734577
1.62E+12	4/20/2021 0:00	BTCUSD	55691.79	55793.15	55691.79	55768.94	3.309903747
1.62E+12	4/19/2021 23:59	BTCUSD	55777.86	55777.86	55677.92	55691.79	0.68493443
1.62E+12	4/19/2021 23:58	BTCUSD	55803.5	55823.88	55773.08	55777.86	0.477224563
1.62E+12	4/19/2021 23:57	BTCUSD	55690.64	55822.91	55682.56	55803.5	5.46171654
1.62E+12	4/19/2021 23:56	BTCUSD	55624.69	55713.02	55624.63	55690.64	0.696310659
1.62E+12	4/19/2021 23:55	BTCUSD	55651.82	55675.92	55621.58	55624.69	0.47016148
1.62E+12	4/19/2021 23:54	BTCUSD	55688.08	55730.21	55641.4	55651.82	0.45672227
1.62E+12	4/19/2021 23:53	BTCUSD	55749.28	55749.28	55688.08	55688.08	0.28641922
1.62E+12	4/19/2021 23:52	BTCUSD	55704.59	55759.27	55695.42	55749.28	0.52427084
1.62E+12	4/19/2021 23:51	BTCUSD	55779.38	55779.38	55688.66	55704.59	0.76722776
1.62E+12	4/19/2021 23:50	BTCUSD	55816.61	55835.57	55769.46	55779.38	3.533437971
1.62E+12	4/19/2021 23:49	BTCUSD	55843.69	55863.89	55797.08	55816.61	0.58663111
1.62E+12	4/19/2021 23:48	BTCUSD	55880.12	55916.47	55815.99	55843.69	6.05982841
1.62E+12	4/19/2021 23:47	BTCUSD	55890.88	55918.87	55826.84	55880.12	0.137560993
1.62E+12	4/19/2021 23:46	BTCUSD	55887.36	55892.99	55861.68	55890.88	0.21195796
1.62E+12	4/19/2021 23:45	BTCUSD	55748.47	55905	55748.47	55887.36	0.15740777
1.62E+12	4/19/2021 23:44	BTCUSD	55859.79	55859.79	55725.8	55748.47	1.81944885
1.62E+12	4/19/2021 23:43	BTCUSD	55770.34	55859.79	55770.34	55859.79	0.76952579
1.62E+12	4/19/2021 23:42	BTCUSD	55733.87	55784.29	55727.33	55770.34	1.926222234
1.62E+12	4/19/2021 23:41	BTCUSD	55733.44	55733.87	55651.65	55733.87	0.67901809
1.62E+12	4/19/2021 23:40	BTCUSD	55709.64	55789.43	55709.64	55733.44	2.04317603
1.62E+12	4/19/2021 23:39	BTCUSD	55826.46	55826.46	55709.64	55709.64	2.18454263
1.62E+12	3/17/2021 8:37	BTCUSD	55763.46	55815.05	55763.46	55805.02	0.08126693
1.62E+12	3/17/2021 8:36	BTCUSD	55706.09	55763.46	55656.2	55763.46	0.57385691
1.62E+12	3/17/2021 8:35	BTCUSD	55721.39	55731.42	55671.34	55706.09	0.64836423
1.62E+12	3/17/2021 8:34	BTCUSD	55772.9	55787.66	55648.08	55721.39	1.577174445
1.62E+12	3/17/2021 8:33	BTCUSD	55842.98	55842.98	55767.19	55772.9	0.1991284
1.62E+12	3/17/2021 8:32	BTCUSD	55889.27	55902.67	55835.93	55842.98	1.82946014

